categoria_tech;registros;admissoes;desligamentos;ocupacoes;remuneracao_media;remuneracao_mediana;saldo_empregos
Desenvolvimento de Software;17016;8439;8577;5;7362.624693492242;6156.26;-138
Redes;14483;7614;6869;11;2541.8953827951;1883.05;745
Suporte Tecnico;13937;7274;6663;3;2945.419453693694;2377.01;611
Infraestrutura;3649;1802;1847;5;4444.834729172395;2446.17;-45
Gestao de Tecnologia;2586;1030;1556;7;15219.291846094055;13000.0;-526
Seguranca da Informacao;767;365;402;3;9921.620614379084;7800.0;-37
Dados e Banco de Dados;620;311;309;2;8691.44720064725;7505.75;2
Outras ocupacoes de Tecnologia;278;197;81;2;6809.644253731343;5000.0;116
Cloud e DevOps;241;100;141;1;14779.592116182574;13219.31;-41
