categoria_tech;registros;admissoes;desligamentos;ocupacoes;remuneracao_media;remuneracao_mediana;saldo_empregos
Desenvolvimento de Software;17447;8973;8474;5;7838.400426703372;6658.139999999999;499
Redes;14620;7226;7394;11;2668.862297269413;1946.26;-168
Suporte Tecnico;14150;7549;6601;3;3117.1293160761015;2500.0;948
Infraestrutura;3454;1869;1585;5;4820.520787720822;2368.3;284
Gestao de Tecnologia;2787;1188;1599;7;15261.327908567315;13000.0;-411
Seguranca da Informacao;811;418;393;3;10090.868197530865;8244.119999999999;25
Dados e Banco de Dados;658;340;318;2;9344.60290964778;8449.0;22
Cloud e DevOps;267;152;115;1;14074.104339622641;14500.0;37
Outras ocupacoes de Tecnologia;189;87;102;2;9062.54097826087;7944.0;-15
