categoria_tech;registros;admissoes;desligamentos;ocupacoes;remuneracao_media;remuneracao_mediana;saldo_empregos
Desenvolvimento de Software;20112;10639;9473;5;7574.988639509985;6500.0;1166
Redes;15044;7740;7304;11;2636.0741774689295;1856.58;436
Suporte Tecnico;14686;7641;7045;3;3056.4468705673758;2352.09;596
Infraestrutura;3765;1862;1903;5;4943.556761394101;2372.0;-41
Gestao de Tecnologia;2909;1291;1618;7;14524.201841652324;12500.0;-327
Seguranca da Informacao;816;437;379;3;9651.019472392638;7500.0;58
Dados e Banco de Dados;747;370;377;2;8764.846465053763;8000.0;-7
Cloud e DevOps;329;184;145;1;13959.349969604862;13000.0;39
Outras ocupacoes de Tecnologia;305;200;105;2;7298.2745;6562.0;95
