categoria_tech;registros;admissoes;desligamentos;ocupacoes;remuneracao_media;remuneracao_mediana;saldo_empregos
Desenvolvimento de Software;17389;8731;8658;5;7901.253804385459;6838.54;73
Redes;14296;6884;7412;11;2666.420200647705;1936.0700000000002;-528
Suporte Tecnico;13446;6973;6473;3;3132.025409114641;2489.0;500
Infraestrutura;3470;1613;1857;5;4794.91885170225;2368.3;-244
Gestao de Tecnologia;2825;1215;1610;7;15075.085776353277;12805.6;-395
Seguranca da Informacao;836;402;434;3;10860.666606714627;8821.805;-32
Dados e Banco de Dados;655;321;334;2;9302.638021638331;8560.49;-13
Cloud e DevOps;348;187;161;1;14208.731613832853;14107.9;26
Outras ocupacoes de Tecnologia;164;83;81;2;9821.705925925926;9000.0;2
