grau_instrucao;registros;admissoes;desligamentos;saldo_empregos
1;64;19;45;-26
2;58;32;26;6
3;54;26;28;-2
4;226;128;98;30
5;613;305;308;-3
6;1516;948;568;380
7;22411;11406;11005;401
8;7533;4033;3500;533
9;16802;8172;8630;-458
10;475;242;233;9
11;144;77;67;10
80;3681;1744;1937;-193
