uf;registros;admissoes;desligamentos;remuneracao_media;remuneracao_mediana;saldo_empregos
35;22806;11847;10959;7301.463476135963;4300.0;888
31;5014;2377;2637;4522.304185953711;2500.0;-260
33;3549;1741;1808;4975.354450084602;2620.0;-67
42;3340;1777;1563;4899.525404433793;3000.0;214
41;3188;1568;1620;4342.027166614371;2670.0;-52
43;3065;1573;1492;5095.454030678851;3200.6400000000003;81
53;1684;861;823;5933.195671819262;4389.73;38
26;1611;880;731;3647.8444472049687;2229.165;149
23;1551;795;756;3393.2789722042667;2092.5;39
29;1532;893;639;2710.09391503268;1760.0;254
52;1122;575;547;3065.7252857142857;2075.4;28
32;1005;512;493;3811.2389154228854;2200.0;19
51;743;371;372;3660.280931174089;2431.5;-1
15;705;326;379;2335.650283687943;1780.0;-53
13;479;227;252;3984.112280334728;2490.835;-25
50;470;226;244;2881.756180257511;2000.0;-18
21;405;208;197;2460.7276543209873;1709.0;11
25;362;181;181;2719.662908587258;1906.98;0
22;311;174;137;2366.2058899676376;1750.0;37
24;287;124;163;2521.3751219512196;1772.0;-39
28;252;119;133;2650.7072222222223;1817.8200000000002;-14
27;245;148;97;2386.293714285714;1660.0;51
11;218;104;114;2273.7542129629633;1785.0;-10
17;189;84;105;2345.971111111111;1942.66;-21
16;122;53;69;2238.857704918033;1744.2649999999999;-16
12;75;26;49;2358.9455999999996;1702.05;-23
14;53;32;21;2389.802641509434;1798.4;11
