grau_instrucao;registros;admissoes;desligamentos;saldo_empregos
1;57;22;35;-13
2;39;12;27;-15
3;40;14;26;-12
4;198;85;113;-28
5;595;250;345;-95
6;1077;541;536;5
7;21255;10296;10959;-663
8;7790;4140;3650;490
9;17780;8695;9085;-390
10;496;255;241;14
11;129;65;64;1
80;3973;2034;1939;95
