uf;registros;admissoes;desligamentos;remuneracao_media;remuneracao_mediana;saldo_empregos
35;24252;12251;12001;7495.704304830557;4409.655000000001;250
31;5448;2808;2640;4548.776147631289;2500.0;168
41;3795;1808;1987;4474.455155590717;2650.7349999999997;-179
42;3664;1760;1904;5131.931289265228;3074.48;-144
33;3597;1827;1770;4727.440506117909;2500.9300000000003;57
43;3450;1843;1607;5191.470895652174;3000.0;236
53;1833;958;875;5811.914469365427;4500.0;83
26;1538;835;703;3865.423889250814;2204.69;132
29;1521;807;714;3088.6414953886692;1760.0;93
23;1346;697;649;3764.5939553903345;2039.8;48
52;1219;605;614;3366.5859277504105;2106.5;-9
32;1065;556;509;3816.1617276995307;2270.64;47
51;690;368;322;2834.1924238026127;2288.48;46
15;624;295;329;2527.1317014446226;1813.35;-34
13;576;275;301;3745.8144173913042;2371.45;-26
50;517;231;286;2493.5625531914893;1957.87;-55
22;369;178;191;2171.109287671233;1801.0;-13
25;365;192;173;2604.6635989010992;1721.73;19
21;336;167;169;2422.3960714285713;1754.29;-2
24;332;183;149;2304.910121580547;1726.34;34
28;320;173;147;2419.391536050157;1737.19;26
27;253;149;104;2644.4395256916996;1634.21;45
11;213;98;115;2199.6481690140845;1773.0;-17
17;187;93;94;2248.063422459893;2000.0;-1
12;69;33;36;1862.3089855072465;1621.0;-3
16;62;33;29;2381.5835483870965;1671.5;4
14;47;26;21;2008.3436170212765;1732.15;5
99;2;2;0;2809.0;2809.0;2
