faixa_etaria;registros;admissoes;desligamentos;saldo_empregos
21-25;11628;6746;4882;1864
26-30;11686;6179;5507;672
31-35;8687;4523;4164;359
36-40;6528;3278;3250;28
41-50;6924;3471;3453;18
51+;2167;953;1214;-261
Ate 20;3704;2414;1290;1124
