faixa_etaria;registros;admissoes;desligamentos;saldo_empregos
21-25;13085;7200;5885;1315
26-30;12865;6391;6474;-83
31-35;9938;4654;5284;-630
36-40;7263;3399;3864;-465
41-50;7627;3496;4131;-635
51+;2267;938;1329;-391
Ate 20;4645;3173;1472;1701
