faixa_etaria;registros;admissoes;desligamentos;saldo_empregos
21-25;12881;7352;5529;1823
26-30;12271;6109;6162;-53
31-35;9094;4309;4785;-476
36-40;6722;3134;3588;-454
41-50;7330;3379;3951;-572
51+;2331;1016;1315;-299
Ate 20;4866;3393;1473;1920
Nao informado;1;0;1;-1
