grau_instrucao;registros;admissoes;desligamentos;saldo_empregos
1;49;22;27;-5
2;71;40;31;9
3;47;17;30;-13
4;235;124;111;13
5;563;294;269;25
6;1397;781;616;165
7;22029;11309;10720;589
8;8042;4605;3437;1168
9;18550;9298;9252;46
10;480;213;267;-54
11;152;83;69;14
80;3881;1906;1975;-69
