faixa_etaria;registros;admissoes;desligamentos;saldo_empregos
21-25;13608;7531;6077;1454
26-30;13872;6984;6888;96
31-35;10199;4929;5270;-341
36-40;7746;3724;4022;-298
41-50;8376;3982;4394;-412
51+;2620;1163;1457;-294
Ate 20;4171;2687;1484;1203
