grau_instrucao;registros;admissoes;desligamentos;saldo_empregos
1;44;22;22;0
2;65;29;36;-7
3;51;20;31;-11
4;209;110;99;11
5;572;276;296;-20
6;1161;592;569;23
7;22224;11177;11047;130
8;9041;5180;3861;1319
9;19520;10072;9448;624
10;524;268;256;12
11;151;76;75;1
80;4198;2158;2040;118
