faixa_etaria;registros;admissoes;desligamentos;saldo_empregos
21-25;13355;7562;5793;1769
26-30;13282;6718;6564;154
31-35;9785;4799;4986;-187
36-40;6955;3396;3559;-163
41-50;7596;3546;4050;-504
51+;2382;1015;1367;-352
Ate 20;4405;2944;1461;1483
