grau_instrucao;registros;admissoes;desligamentos;saldo_empregos
1;56;19;37;-18
2;62;31;31;0
3;45;20;25;-5
4;211;92;119;-27
5;591;325;266;59
6;1223;716;507;209
7;22278;11491;10787;704
8;8966;4991;3975;1016
9;19611;10028;9583;445
10;531;283;248;35
11;150;72;78;-6
80;4318;2266;2052;214
