competencia;uf;registros;admissoes;desligamentos;remuneracao_media;remuneracao_mediana;saldo_empregos
202510;25;362;164;198;3068.6725484764543;2000.0;-34
202510;22;341;173;168;2247.891794117647;1800.0;5
202510;27;249;151;98;2149.511967871486;1620.0;53
202510;11;238;122;116;2356.092735042735;1700.0;6
202510;17;162;77;85;2350.2256172839507;1873.36;-8
202510;16;85;44;41;2138.5962352941174;1533.18;3
202510;14;68;29;39;2112.9955882352942;1732.15;-10
202510;12;65;34;31;1835.338125;1598.76;3
202511;35;21461;11798;9663;7150.320579466331;4486.12;2135
202511;31;4839;2622;2217;4303.416941687345;2477.88;405
202511;42;3328;1778;1550;4872.222603728203;2980.4;228
202511;33;3236;1690;1546;4696.788986089644;2516.0;144
202511;41;3217;1663;1554;4461.668227060653;2662.56;109
202511;43;3129;1594;1535;5154.188772770854;2982.92;59
202511;53;1788;971;817;5444.813116955791;3305.35;154
202511;29;1416;786;630;2956.4508268551235;1781.81;156
202511;23;1249;673;576;4125.877708333333;2200.0;97
202511;26;1180;664;516;4285.798753180662;2528.73;148
202511;52;1142;601;541;2856.5372655565293;2002.0;60
202511;32;881;449;432;3801.75735763098;2179.99;17
202511;51;651;345;306;3043.741953846154;2200.0;39
202511;15;526;264;262;2522.845067178503;1843.61;2
202511;13;467;234;233;3446.775760171306;2032.67;1
202511;50;443;229;214;2746.2228280542986;1869.16;15
202511;21;398;212;186;2348.475879396985;1700.0;26
202511;22;360;157;203;2265.081504178273;1800.0;-46
202511;24;359;191;168;2234.103770949721;1703.8;23
202511;25;340;182;158;3139.370383480826;1963.0;24
202511;28;220;102;118;2428.402363636364;1700.0;-16
202511;27;192;92;100;2258.1890104166664;1599.38;-8
202511;11;180;93;87;2315.252555555556;1725.5;6
202511;17;150;76;74;2309.86033557047;1818.07;2
202511;16;83;53;30;2032.5455421686747;1571.13;23
202511;14;61;33;28;2350.0431147540985;1621.93;5
202511;12;28;12;16;2706.758214285714;1882.93;-4
202512;35;18528;8746;9782;6939.909638560745;4026.74;-1036
202512;31;4238;2010;2228;4240.224462556106;2500.0;-218
202512;33;4085;1460;2625;4665.0297770154375;2502.4;-1165
202512;43;3145;1298;1847;4373.326260731319;2479.98;-549
202512;42;3040;1235;1805;4203.47934431631;2406.76;-570
202512;41;2977;1201;1776;3915.4214079301073;2417.025;-575
202512;53;1509;795;714;6174.56899800929;4840.0;81
202512;26;1426;740;686;4398.51549088359;2710.0;54
202512;29;1407;595;812;2986.643063255153;1740.53;-217
202512;23;1122;461;661;3387.8991354723707;1844.9;-200
202512;52;1103;511;592;2809.8447144152315;2000.0;-81
202512;32;897;410;487;3778.0226450892856;2100.0;-77
202512;15;607;225;382;2251.924483333333;1764.25;-157
202512;51;587;305;282;3228.264037478705;2129.0;23
202512;13;503;194;309;3084.3072962226643;2168.71;-115
202512;21;419;181;238;2240.3215751789976;1743.54;-57
202512;25;382;149;233;2739.5364136125654;1842.77;-84
202512;50;380;141;239;2579.3880494505493;1921.0;-98
202512;24;375;140;235;1985.4783109919567;1609.29;-95
202512;22;280;129;151;2023.54375;1826.1;-22
202512;28;272;98;174;2521.1950740740745;1797.71;-76
202512;27;241;87;154;2250.0921991701243;1609.29;-67
202512;11;166;89;77;2092.442831325301;1710.0;12
202512;17;127;59;68;2325.6585826771657;1960.25;-9
202512;16;108;48;60;2414.333333333333;1739.05;-12
202512;14;68;13;55;1927.3102941176471;1739.05;-42
202512;12;35;21;14;2493.2574285714286;1706.0;7
202601;35;23016;11904;11112;7138.079940272289;4169.025;792
202601;31;4947;2456;2491;4326.454410329402;2408.57;-35
202601;42;3479;1880;1599;4591.061717435451;2761.03;281
202601;41;3337;1702;1635;4305.687043269231;2602.6;67
202601;33;3335;1711;1624;5111.643080397471;2625.0;87
202601;43;3290;1771;1519;4903.337374199451;2800.0;252
202601;53;2202;923;1279;6808.2058;6162.95;-356
202601;29;1810;1016;794;4565.35179501385;2000.0;222
202601;26;1485;866;619;3889.069079214624;2300.0;247
202601;23;1254;638;616;3338.127849720224;1950.0;22
202601;52;1196;619;577;2786.1868465430016;2000.0;42
202601;32;1018;602;416;4624.841605911331;2345.0;186
202601;15;738;377;361;2389.335;1785.85;16
202601;51;698;367;331;2802.475775862069;2165.49;36
202601;25;534;163;371;3035.0779661016945;1989.0;-208
202601;13;479;274;205;3555.1391295116773;2231.56;69
202601;21;418;234;184;2075.1339371980675;1705.0;50
202601;50;407;208;199;2887.044054054054;2000.0;9
202601;24;359;188;171;2221.219192200557;1638.66;17
202601;28;342;205;137;2419.183235294118;1800.0;68
202601;22;272;155;117;2325.7671111111117;1779.395;38
202601;27;265;137;128;2478.5810943396227;1622.73;9
202601;11;215;106;109;2421.282910798122;1700.0;-3
202601;17;202;90;112;2270.3901485148517;1873.36;-22
202601;16;83;43;40;2642.255421686747;1721.0;3
202601;12;62;22;40;2122.4016129032257;1750.0;-18
202601;14;53;35;18;2009.617924528302;1732.15;17
202602;35;22286;11106;11180;6767.772125124131;3792.33;-74
202602;31;4632;2410;2222;4159.492124756335;2365.13;188
202602;42;3588;1810;1778;4556.659025755879;2769.915;32
202602;41;3317;1591;1726;4113.947154938085;2600.0;-135
202602;33;3204;1570;1634;4699.394161704795;2516.0;-64
202602;43;3110;1660;1450;4521.755967064902;2635.0;210
202602;53;1946;991;955;6266.151616580311;5000.0;36
202602;26;1437;797;640;3800.302634898389;2168.69;157
202602;29;1334;638;696;2841.84841472577;1728.73;-58
202602;52;1242;631;611;3247.08716357776;2050.0;20
202602;23;1199;624;575;3534.224380791912;1914.8;49
202602;32;1054;576;478;4395.0248233046805;2276.55;98
202602;51;770;410;360;2871.3616949152542;2238.48;50
202602;15;674;359;315;2406.525302114804;1774.05;44
202602;50;580;316;264;2243.097478411053;1843.03;52
202602;13;567;260;307;3853.736975088968;2585.48;-47
202602;25;405;218;187;2597.4455472636814;1800.0;31
202602;21;368;196;172;2839.745803814714;1802.0;24
202602;24;354;185;169;2422.007809798271;1900.0;16
202602;28;315;172;143;2533.133216560509;1720.11;29
202602;22;273;148;125;2678.067216117216;1723.7;23
202602;11;258;131;127;1934.217007874016;1730.75;4
202602;17;223;111;112;2236.174304932736;1881.25;-1
202602;27;204;95;109;2452.6979802955666;1719.0;-14
202602;12;98;59;39;1987.3747959183677;1621.0;20
202602;16;83;46;37;2251.4736144578314;1621.0;9
202602;14;56;22;34;1978.5587272727275;1621.0;-12
202603;35;24476;12520;11956;7202.888895594696;4146.67;564
202603;31;5649;2850;2799;4219.917583274274;2364.5950000000003;51
202603;33;3949;2136;1813;4491.9000659229205;2354.785;323
202603;42;3942;2070;1872;4677.478756976155;2845.5;198
202603;41;3720;1822;1898;4297.713593539704;2640.0;-76
202603;43;3455;1829;1626;4744.281236247829;2750.0;203
202603;53;1999;1019;980;6208.091947921883;5000.0;39
202603;29;1642;894;748;2892.862826617826;1700.0;146
