uf;registros;admissoes;desligamentos;remuneracao_media;remuneracao_mediana;saldo_empregos
35;18528;8746;9782;6939.909638560745;4026.74;-1036
31;4238;2010;2228;4240.224462556106;2500.0;-218
33;4085;1460;2625;4665.0297770154375;2502.4;-1165
43;3145;1298;1847;4373.326260731319;2479.98;-549
42;3040;1235;1805;4203.47934431631;2406.76;-570
41;2977;1201;1776;3915.4214079301073;2417.025;-575
53;1509;795;714;6174.56899800929;4840.0;81
26;1426;740;686;4398.51549088359;2710.0;54
29;1407;595;812;2986.643063255153;1740.53;-217
23;1122;461;661;3387.8991354723707;1844.9;-200
52;1103;511;592;2809.8447144152315;2000.0;-81
32;897;410;487;3778.0226450892856;2100.0;-77
15;607;225;382;2251.9244833333332;1764.25;-157
51;587;305;282;3228.264037478705;2129.0;23
13;503;194;309;3084.3072962226643;2168.71;-115
21;419;181;238;2240.3215751789976;1743.54;-57
25;382;149;233;2739.5364136125654;1842.77;-84
50;380;141;239;2579.3880494505493;1921.0;-98
24;375;140;235;1985.4783109919572;1609.29;-95
22;280;129;151;2023.54375;1826.1;-22
28;272;98;174;2521.1950740740745;1797.71;-76
27;241;87;154;2250.0921991701243;1609.29;-67
11;166;89;77;2092.442831325301;1710.0;12
17;127;59;68;2325.6585826771657;1960.25;-9
16;108;48;60;2414.3333333333335;1739.05;-12
14;68;13;55;1927.3102941176471;1739.05;-42
12;35;21;14;2493.2574285714286;1706.0;7
