uf;registros;admissoes;desligamentos;remuneracao_media;remuneracao_mediana;saldo_empregos
35;25753;13225;12528;7070.062401075982;4332.28;697
31;5610;2961;2649;4313.018362531283;2400.0;312
33;3963;2026;1937;4756.083506953224;2516.0;89
42;3804;1929;1875;4792.616094736843;2950.0;54
41;3704;1801;1903;4301.109564747228;2589.01;-102
43;3516;1834;1682;5079.172129418472;2894.67;152
53;1916;918;998;6013.892635699374;4014.08;-80
26;1554;864;690;3841.660587096774;2200.0;174
29;1440;744;696;3276.328853370396;1800.0;48
23;1409;726;683;4041.155192582026;2105.735;43
52;1351;658;693;2946.835337286879;2000.0;-35
32;1050;590;460;3848.1396377502383;2219.48;130
13;772;375;397;3329.2721660181583;2368.3;-22
51;752;334;418;3031.279027962716;2277.0;-84
15;744;397;347;2417.1853387533874;1842.44;50
50;541;258;283;2773.848611111111;2000.0;-25
21;393;183;210;2529.933740458015;1637.06;-27
28;386;201;185;2573.0258808290155;1837.5;16
24;364;182;182;2624.4080991735536;1760.0;0
25;362;164;198;3068.6725484764543;2000.0;-34
22;341;173;168;2247.891794117647;1800.0;5
27;249;151;98;2149.511967871486;1620.0;53
11;238;122;116;2356.092735042735;1700.0;6
17;162;77;85;2350.2256172839507;1873.36;-8
16;85;44;41;2138.5962352941174;1533.18;3
14;68;29;39;2112.9955882352942;1732.15;-10
12;65;34;31;1835.338125;1598.76;3
