categoria_tech;registros;admissoes;desligamentos;ocupacoes;remuneracao_media;remuneracao_mediana;saldo_empregos
Desenvolvimento de Software;19744;10106;9638;5;7695.3974875647145;6600.0;468
Redes;16467;8599;7868;11;2600.684448107448;1855.165;731
Suporte Tecnico;15031;7810;7221;3;3026.5364161002267;2353.0;589
Infraestrutura;4024;1966;2058;5;4957.837963609172;2419.7200000000003;-92
Gestao de Tecnologia;2987;1316;1671;7;14705.441369127517;12872.91;-355
Seguranca da Informacao;947;493;454;3;9679.69348468849;7987.33;39
Dados e Banco de Dados;785;384;401;2;9022.890943877552;8769.0;-17
Cloud e DevOps;389;216;173;1;14077.463453608249;13889.64;43
Outras ocupacoes de Tecnologia;218;110;108;2;8725.44614678899;8080.0;2
