faixa_etaria;registros;admissoes;desligamentos;saldo_empregos
21-25;12283;6570;5713;857
26-30;11808;5656;6152;-496
31-35;9015;4187;4828;-641
36-40;6886;3152;3734;-582
41-50;7211;3189;4022;-833
51+;2155;926;1229;-303
Ate 20;3842;2502;1340;1162
Nao informado;229;227;2;225
