uf;registros;admissoes;desligamentos;remuneracao_media;remuneracao_mediana;saldo_empregos
35;23807;12496;11311;7055.593760485604;4399.76;1185
31;5728;2924;2804;4170.59395909806;2310.0;120
42;3859;1967;1892;4719.602946058091;2800.0;75
33;3655;1979;1676;4848.874338174843;2643.43;303
43;3617;1819;1798;4953.895134237476;2801.03;21
41;3511;1801;1710;4217.504611872147;2534.9;91
53;2032;1026;1006;6121.585800887136;4186.53;20
29;1428;716;712;3187.816433076384;1720.0;4
23;1304;681;623;3757.5833667953666;2086.33;58
52;1283;605;678;2934.067035881435;2026.045;-73
26;1257;708;549;4155.139578025477;2300.0;159
32;1052;565;487;3948.5675333333334;2303.605;78
15;831;429;402;2405.108206060606;1780.0;27
51;828;469;359;3010.3142666666668;2205.0;110
13;579;243;336;3386.610886956522;2200.0;-93
50;534;281;253;3205.5241463414636;2079.29;28
21;389;190;199;2279.023505154639;1694.155;-9
25;377;198;179;2673.093978779841;1792.5;19
24;337;169;168;2541.2606231454006;1725.23;1
22;302;185;117;2332.9191029900335;1832.55;68
28;255;130;125;2646.8874015748033;1769.4;5
27;203;103;100;2093.4292610837438;1555.65;3
11;201;107;94;2209.42655;1714.8;13
17;180;89;91;2450.956;1940.935;-2
16;86;48;38;1845.9264705882354;1571.13;10
12;74;23;51;1723.1002702702704;1518.0;-28
14;51;29;22;1648.7594117647059;1518.0;7
