faixa_etaria;registros;admissoes;desligamentos;saldo_empregos
21-25;9860;5198;4662;536
26-30;9944;4650;5294;-644
31-35;7779;3365;4414;-1049
36-40;6068;2494;3574;-1080
41-50;7365;2800;4565;-1765
51+;2810;788;2022;-1234
Ate 20;4201;2046;2155;-109
