competencia;categoria_tech;registros;admissoes;desligamentos;ocupacoes;remuneracao_media;remuneracao_mediana;saldo_empregos
202603;Outras ocupacoes de Tecnologia;225;136;89;2;9639.570136363636;8000.0;47
202604;Desenvolvimento de Software;18628;9249;9379;5;8126.5965520206355;7000.0;-130
202604;Redes;15637;8101;7536;11;2632.085841106465;1919.94;565
202604;Suporte Tecnico;14475;7563;6912;3;3120.7964676995434;2481.17;651
202604;Infraestrutura;3950;2060;1890;5;4872.727945795339;2342.64;170
202604;Gestao de Tecnologia;2936;1234;1702;7;15510.369162965491;13594.72;-468
202604;Seguranca da Informacao;854;448;406;3;10324.692517564405;8658.2;42
202604;Dados e Banco de Dados;697;327;370;2;9798.30109352518;8832.74;-43
202604;Cloud e DevOps;314;155;159;1;14797.15342948718;14247.03;-4
202604;Outras ocupacoes de Tecnologia;199;114;85;2;8700.04276923077;7500.0;29
202605;Desenvolvimento de Software;17389;8731;8658;5;7901.253804385459;6838.54;73
202605;Redes;14296;6884;7412;11;2666.420200647705;1936.07;-528
202605;Suporte Tecnico;13446;6973;6473;3;3132.025409114641;2489.0;500
202605;Infraestrutura;3470;1613;1857;5;4794.91885170225;2368.3;-244
202605;Gestao de Tecnologia;2825;1215;1610;7;15075.085776353277;12805.6;-395
202605;Seguranca da Informacao;836;402;434;3;10860.666606714629;8821.805;-32
202605;Dados e Banco de Dados;655;321;334;2;9302.638021638331;8560.49;-13
202605;Cloud e DevOps;348;187;161;1;14208.731613832852;14107.9;26
202605;Outras ocupacoes de Tecnologia;164;83;81;2;9821.705925925926;9000.0;2
202606;Desenvolvimento de Software;17447;8973;8474;5;7838.400426703372;6658.139999999999;499
202606;Redes;14620;7226;7394;11;2668.862297269413;1946.26;-168
202606;Suporte Tecnico;14150;7549;6601;3;3117.129316076101;2500.0;948
202606;Infraestrutura;3454;1869;1585;5;4820.520787720822;2368.3;284
202606;Gestao de Tecnologia;2787;1188;1599;7;15261.327908567317;13000.0;-411
202606;Seguranca da Informacao;811;418;393;3;10090.868197530865;8244.119999999999;25
202606;Dados e Banco de Dados;658;340;318;2;9344.60290964778;8449.0;22
202606;Cloud e DevOps;267;152;115;1;14074.10433962264;14500.0;37
202606;Outras ocupacoes de Tecnologia;189;87;102;2;9062.54097826087;7944.0;-15
