competencia;grau_instrucao;registros;admissoes;desligamentos;saldo_empregos;escolaridade
202605;1;57;22;35;-13;Analfabeto
202605;2;39;12;27;-15;Fundamental incompleto
202605;3;40;14;26;-12;Fundamental completo
202605;4;198;85;113;-28;Medio incompleto
202605;5;595;250;345;-95;Medio completo
202605;6;1077;541;536;5;Superior incompleto
202605;7;21255;10296;10959;-663;Superior completo
202605;8;7790;4140;3650;490;Mestrado
202605;9;17780;8695;9085;-390;Doutorado
202605;10;496;255;241;14;Pos-graduacao completa
202605;11;129;65;64;1;Pos-graduacao incompleta
202605;80;3973;2034;1939;95;Pos-graduacao completa
202606;1;81;28;53;-25;Analfabeto
202606;2;52;26;26;0;Fundamental incompleto
202606;3;39;15;24;-9;Fundamental completo
202606;4;190;96;94;2;Medio incompleto
202606;5;595;309;286;23;Medio completo
202606;6;1128;573;555;18;Superior incompleto
202606;7;21776;10887;10889;-2;Superior completo
202606;8;8165;4557;3608;949;Mestrado
202606;9;17836;8953;8883;70;Doutorado
202606;10;499;246;253;-7;Pos-graduacao completa
202606;11;142;72;70;2;Pos-graduacao incompleta
202606;80;3880;2040;1840;200;Pos-graduacao completa
