faixa_etaria;registros;admissoes;desligamentos;saldo_empregos
21-25;12493;7062;5431;1631
26-30;12211;6077;6134;-57
31-35;9265;4421;4844;-423
36-40;6801;3254;3547;-293
41-50;7266;3423;3843;-420
51+;2259;897;1362;-465
Ate 20;4080;2667;1413;1254
Nao informado;8;1;7;-6
