uf;registros;admissoes;desligamentos;remuneracao_media;remuneracao_mediana;saldo_empregos
35;21852;10672;11180;7436.322899331951;4485.62;-508
31;5099;2537;2562;4473.28352004717;2500.0;-25
33;3500;1733;1767;4877.265704064111;2571.575;-34
41;3337;1578;1759;4429.732316926771;2700.0;-181
42;3311;1599;1712;4996.8626164549305;3000.0;-113
43;3008;1499;1509;5260.065286094477;3000.0;-10
53;2065;977;1088;6500.8069346246975;5000.0;-111
29;1379;708;671;2816.9751235465114;1765.865;37
23;1317;651;666;3466.6696027501907;2049.75;-15
26;1309;680;629;3999.5940446841296;2339.09;51
52;1199;596;603;3109.5791569282137;2005.32;-7
32;1076;573;503;4289.119140989729;2380.0;70
15;718;412;306;2798.9635515320333;1933.25;106
51;688;366;322;2855.987313868613;2302.61;44
13;533;269;264;3904.598147448015;2500.0;5
50;462;199;263;2757.479713024283;2000.0;-64
21;391;208;183;2122.126923076923;1743.06;25
25;356;186;170;3006.829353932584;1915.9850000000001;16
22;325;147;178;2550.9898148148145;1716.245;-31
24;320;183;137;2495.3659561128525;1726.54;46
28;318;163;155;2716.778899371069;1764.03;8
11;230;116;114;2281.2620869565217;1800.0;2
27;220;124;96;2590.7988636363634;1688.77;28
17;169;92;77;2349.7994047619045;1951.45;15
16;114;71;43;2392.9038596491228;1637.21;28
12;77;36;41;1911.0975324675326;1621.0;-5
14;54;32;22;2143.9224074074073;1753.355;10
99;2;2;0;2487.035;2487.035;2
