grau_instrucao;registros;admissoes;desligamentos;saldo_empregos
1;36;12;24;-12
2;48;13;35;-22
3;42;11;31;-20
4;347;87;260;-173
5;578;194;384;-190
6;1695;538;1157;-619
7;20153;8265;11888;-3623
8;6516;3436;3080;356
9;14843;6994;7849;-855
10;415;182;233;-51
11;137;55;82;-27
80;3217;1554;1663;-109
