grau_instrucao;registros;admissoes;desligamentos;saldo_empregos
1;65;18;47;-29
2;59;28;31;-3
3;47;20;27;-7
4;210;94;116;-22
5;610;272;338;-66
6;1201;606;595;11
7;23745;11829;11916;-87
8;9239;5141;4098;1043
9;20125;10334;9791;543
10;553;280;273;7
11;159;84;75;9
80;4579;2294;2285;9
