grau_instrucao;registros;admissoes;desligamentos;saldo_empregos
1;58;19;39;-20
2;41;16;25;-9
3;55;19;36;-17
4;235;111;124;-13
5;694;369;325;44
6;1148;589;559;30
7;23247;11852;11395;457
8;8621;4689;3932;757
9;18708;9139;9569;-430
10;506;234;272;-38
11;132;78;54;24
80;4245;2136;2109;27
