categoria_tech;registros;admissoes;desligamentos;ocupacoes;remuneracao_media;remuneracao_mediana;saldo_empregos
Desenvolvimento de Software;20080;10573;9507;5;7757.197270053342;6630.0;1066
Redes;15255;7913;7342;11;2625.8297855686374;1843.03;571
Suporte Tecnico;14168;7520;6648;3;3027.1880008476974;2352.09;872
Infraestrutura;3672;2027;1645;5;4723.731614839062;2200.0;382
Gestao de Tecnologia;2878;1273;1605;7;14648.119408284025;12276.46;-332
Seguranca da Informacao;846;433;413;3;9475.247813238771;7290.5;20
Dados e Banco de Dados;685;351;334;2;9318.071081871345;8579.75;17
Cloud e DevOps;288;143;145;1;14208.715;14000.0;-2
Outras ocupacoes de Tecnologia;170;101;69;2;9735.505325443786;8261.88;32
