uf;registros;admissoes;desligamentos;remuneracao_media;remuneracao_mediana;saldo_empregos
35;24724;12707;12017;7170.466975035519;4500.0;690
31;5535;2832;2703;4222.80025520362;2352.09;129
33;4011;2071;1940;5154.479492880339;2619.13;131
43;3615;1904;1711;4881.741951760466;2760.87;193
42;3531;1817;1714;4815.153129965947;3000.0;103
41;3503;1752;1751;4411.172981099657;2800.0;1
53;1895;1043;852;5661.376408898305;4000.0;191
29;1541;814;727;3047.149509609013;1820.52;87
23;1396;746;650;3532.086548736462;2060.0;96
52;1355;680;675;2881.4252736686394;2000.0;5
26;1344;661;683;4122.193462397618;2484.85;-22
32;997;470;527;4021.7029949748744;2352.09;-57
51;871;520;351;3199.672574712644;2284.105;169
15;754;422;332;2253.9654133333333;1750.0;90
13;591;330;261;3443.2894247038917;2300.0;69
50;540;223;317;2665.209481481482;1904.0;-94
21;403;219;184;2039.7122580645162;1609.29;35
25;380;211;169;2743.4565263157892;1875.14;42
22;309;167;142;2413.412084690554;1753.6;25
24;301;175;126;2251.3425249169436;1666.8;49
28;252;147;105;2604.285992063492;1700.0;42
27;227;106;121;2603.298281938326;1719.0;-15
11;212;106;106;2380.8232701421803;1688.0;0
17;180;89;91;2194.0540223463686;1778.45;-2
16;106;65;41;1920.149523809524;1533.18;24
12;82;54;28;1561.649268292683;1518.0;26
14;58;33;25;2315.9994827586206;1644.65;8
