faixa_etaria;registros;admissoes;desligamentos;saldo_empregos
21-25;12310;6706;5604;1102
26-30;11614;5688;5926;-238
31-35;8692;4033;4659;-626
36-40;6534;2972;3562;-590
41-50;7181;3232;3949;-717
51+;2160;870;1290;-420
Ate 20;5086;3631;1455;2176
