uf;registros;admissoes;desligamentos;remuneracao_media;remuneracao_mediana;saldo_empregos
35;24683;12676;12007;7315.158667993664;4714.65;669
31;5407;2816;2591;4309.46851083534;2500.0;225
33;3799;2010;1789;4680.780676493814;2516.0;221
42;3769;1996;1773;4767.489716029724;2800.0;223
41;3432;1735;1697;4354.488705916642;2607.72;38
43;3308;1849;1459;5068.834247279323;2816.23;390
53;1837;971;866;5911.39458900381;3871.81;105
29;1456;823;633;3026.5922199312713;1800.0;190
26;1381;775;606;3847.3532826086957;2200.0;169
23;1371;715;656;3334.408559882439;2003.91;59
52;1338;617;721;3003.6800674157303;2091.4;-104
32;989;533;456;3695.970839231547;2110.12;77
51;803;417;386;3388.243408239701;2200.0;31
15;677;390;287;2437.3799113737073;1750.0;103
50;617;311;306;2566.35301458671;1857.0;5
13;484;249;235;3900.761590909091;2251.12;14
25;426;240;186;2951.2156941176468;2003.4;54
21;405;215;190;2176.4436881188117;1635.25;25
24;370;199;171;3130.563125;1795.05;28
22;328;168;160;2406.9382926829267;1885.25;8
28;273;153;120;2254.2017216117215;1635.0;33
27;229;125;104;2113.2572925764193;1564.0;21
11;210;109;101;2058.8433971291865;1700.0;8
17;196;100;96;2230.241683673469;1720.0;4
14;97;66;31;1476.4648453608247;1518.0;35
16;85;39;46;1877.0335294117647;1533.18;-7
12;72;37;35;2073.8225;1588.56;2
