uf;registros;admissoes;desligamentos;remuneracao_media;remuneracao_mediana;saldo_empregos
35;24476;12520;11956;7202.888895594696;4146.67;564
31;5649;2850;2799;4219.917583274274;2364.5950000000003;51
33;3949;2136;1813;4491.9000659229205;2354.785;323
42;3942;2070;1872;4677.478756976155;2845.5;198
41;3720;1822;1898;4297.713593539704;2640.0;-76
43;3455;1829;1626;4744.281236247829;2750.0;203
53;1999;1019;980;6208.091947921883;5000.0;39
29;1642;894;748;2892.862826617826;1700.0;146
26;1501;824;677;3624.4307810413884;2145.255;147
52;1318;633;685;3052.070151975684;2091.275;-52
23;1279;710;569;3531.9239937353173;2000.0;141
32;1168;630;538;3710.3141373390554;2134.94;92
51;769;418;351;2984.6514192708332;2300.0;67
15;655;330;325;2423.0204761904765;1780.0;5
50;560;303;257;2669.9435009310987;1960.0;46
13;558;273;285;4090.8963799283156;2514.32;-12
21;494;274;220;2210.834271255061;1721.0;54
25;422;213;209;2835.1185273159144;1881.89;4
28;388;208;180;2054.6986082474227;1704.53;28
24;315;163;152;2235.328662420382;1726.54;11
22;313;164;149;3009.2595145631067;1714.32;15
27;270;117;153;2547.9786666666664;1651.155;-36
11;269;146;123;2088.0246641791045;1773.0;23
17;227;119;108;2274.0258149779734;1951.45;11
16;142;96;46;2543.282042253521;1621.0;50
12;89;44;45;2100.5994382022473;1621.0;-1
14;84;45;39;1705.622738095238;1621.0;6
