faixa_etaria;registros;admissoes;desligamentos;saldo_empregos
21-25;13434;7665;5769;1896
26-30;13054;6574;6480;94
31-35;9808;4832;4976;-144
36-40;7201;3512;3689;-177
41-50;7858;3761;4097;-336
51+;2341;1057;1284;-227
Ate 20;4346;2933;1413;1520
