categoria_tech;registros;admissoes;desligamentos;ocupacoes;remuneracao_media;remuneracao_mediana;saldo_empregos
Desenvolvimento de Software;18628;9249;9379;5;8126.5965520206355;7000.0;-130
Redes;15637;8101;7536;11;2632.085841106465;1919.94;565
Suporte Tecnico;14475;7563;6912;3;3120.7964676995434;2481.17;651
Infraestrutura;3950;2060;1890;5;4872.727945795339;2342.64;170
Gestao de Tecnologia;2936;1234;1702;7;15510.369162965493;13594.72;-468
Seguranca da Informacao;854;448;406;3;10324.692517564403;8658.2;42
Dados e Banco de Dados;697;327;370;2;9798.301093525179;8832.74;-43
Cloud e DevOps;314;155;159;1;14797.15342948718;14247.029999999999;-4
Outras ocupacoes de Tecnologia;199;114;85;2;8700.04276923077;7500.0;29
