categoria_tech;registros;admissoes;desligamentos;ocupacoes;remuneracao_media;remuneracao_mediana;saldo_empregos
Desenvolvimento de Software;18606;9347;9259;5;7635.350587918596;6456.375;88
Redes;16484;8818;7666;11;2616.8711017620876;1889.55;1152
Suporte Tecnico;15445;8141;7304;3;3025.8031154768855;2447.66;837
Infraestrutura;4002;2187;1815;5;5048.659716720983;2332.0;372
Gestao de Tecnologia;3003;1261;1742;7;14806.781670556851;12816.8;-481
Seguranca da Informacao;875;440;435;3;10236.215378440367;8500.0;5
Dados e Banco de Dados;719;372;347;2;9480.97880918221;8836.14;25
Cloud e DevOps;294;148;146;1;14833.08044520548;14420.285;2
Outras ocupacoes de Tecnologia;225;136;89;2;9639.570136363636;8000.0;47
