grau_instrucao;registros;admissoes;desligamentos;saldo_empregos
1;81;28;53;-25
2;52;26;26;0
3;39;15;24;-9
4;190;96;94;2
5;595;309;286;23
6;1128;573;555;18
7;21776;10887;10889;-2
8;8165;4557;3608;949
9;17836;8953;8883;70
10;499;246;253;-7
11;142;72;70;2
80;3880;2040;1840;200
