uf;registros;admissoes;desligamentos;remuneracao_media;remuneracao_mediana;saldo_empregos
35;23016;11904;11112;7138.079940272289;4169.025;792
31;4947;2456;2491;4326.454410329402;2408.57;-35
42;3479;1880;1599;4591.061717435451;2761.03;281
41;3337;1702;1635;4305.687043269231;2602.6;67
33;3335;1711;1624;5111.643080397471;2625.0;87
43;3290;1771;1519;4903.337374199451;2800.0;252
53;2202;923;1279;6808.2058;6162.95;-356
29;1810;1016;794;4565.35179501385;2000.0;222
26;1485;866;619;3889.0690792146243;2300.0;247
23;1254;638;616;3338.127849720224;1950.0;22
52;1196;619;577;2786.1868465430016;2000.0;42
32;1018;602;416;4624.841605911331;2345.0;186
15;738;377;361;2389.335;1785.85;16
51;698;367;331;2802.475775862069;2165.49;36
25;534;163;371;3035.0779661016945;1989.0;-208
13;479;274;205;3555.1391295116773;2231.56;69
21;418;234;184;2075.1339371980675;1705.0;50
50;407;208;199;2887.044054054054;2000.0;9
24;359;188;171;2221.2191922005572;1638.66;17
28;342;205;137;2419.183235294118;1800.0;68
22;272;155;117;2325.7671111111113;1779.395;38
27;265;137;128;2478.5810943396227;1622.73;9
11;215;106;109;2421.282910798122;1700.0;-3
17;202;90;112;2270.3901485148513;1873.36;-22
16;83;43;40;2642.255421686747;1721.0;3
12;62;22;40;2122.4016129032257;1750.0;-18
14;53;35;18;2009.617924528302;1732.15;17
