uf;registros;admissoes;desligamentos;remuneracao_media;remuneracao_mediana;saldo_empregos
35;21461;11798;9663;7150.320579466331;4486.12;2135
31;4839;2622;2217;4303.416941687345;2477.88;405
42;3328;1778;1550;4872.222603728203;2980.4;228
33;3236;1690;1546;4696.788986089644;2516.0;144
41;3217;1663;1554;4461.668227060653;2662.56;109
43;3129;1594;1535;5154.188772770854;2982.92;59
53;1788;971;817;5444.813116955791;3305.35;154
29;1416;786;630;2956.4508268551235;1781.81;156
23;1249;673;576;4125.877708333333;2200.0;97
26;1180;664;516;4285.798753180662;2528.73;148
52;1142;601;541;2856.5372655565293;2002.0;60
32;881;449;432;3801.7573576309796;2179.99;17
51;651;345;306;3043.741953846154;2200.0;39
15;526;264;262;2522.845067178503;1843.61;2
13;467;234;233;3446.775760171306;2032.67;1
50;443;229;214;2746.2228280542986;1869.16;15
21;398;212;186;2348.475879396985;1700.0;26
22;360;157;203;2265.081504178273;1800.0;-46
24;359;191;168;2234.103770949721;1703.8;23
25;340;182;158;3139.370383480826;1963.0;24
28;220;102;118;2428.4023636363636;1700.0;-16
27;192;92;100;2258.1890104166664;1599.38;-8
11;180;93;87;2315.252555555556;1725.5;6
17;150;76;74;2309.86033557047;1818.07;2
16;83;53;30;2032.5455421686747;1571.13;23
14;61;33;28;2350.0431147540985;1621.93;5
12;28;12;16;2706.758214285714;1882.9299999999998;-4
