grau_instrucao;registros;admissoes;desligamentos;saldo_empregos
1;64;28;36;-8
2;64;37;27;10
3;45;18;27;-9
4;284;123;161;-38
5;676;369;307;62
6;1343;703;640;63
7;24485;12940;11545;1395
8;8581;4638;3943;695
9;19358;9606;9752;-146
10;514;273;241;32
11;139;64;75;-11
80;4100;2051;2049;2
