codigo_cbo;ocupacao;categoria_tech;registros;admissoes;desligamentos;remuneracao_media;remuneracao_mediana;saldo_empregos
212405;Analista de desenvolvimento de sistemas;Desenvolvimento de Software;10386;5026;5360;8181.239559292549;7286.01;-334
317210;Técnico de suporte ao usuário de tecnologia da informação;Suporte Tecnico;6173;3392;2781;2403.7998797530063;2200.0;611
212420;Analista de suporte computacional;Suporte Tecnico;5285;2657;2628;3887.4614943841616;2930.55;29
317110;Desenvolvedor de sistemas de tecnologia da informação (técnico);Desenvolvimento de Software;4997;2618;2379;5255.350466331658;3712.55;239
732130;Instalador-reparador de redes telefônicas e de comunicação de dados;Redes;4743;2636;2107;1910.8597961373391;1792.0;529
313220;Técnico em manutenção de equipamentos de informática;Suporte Tecnico;2479;1225;1254;2290.873269854133;2126.8450000000003;-29
212410;Analista de redes e de comunicação de dados;Redes;2006;967;1039;5367.485546639919;4000.0;-72
313310;Técnico de rede (telecomunicações);Redes;1996;992;1004;2075.883809045226;1850.62;-12
317205;Operador de computador;Infraestrutura;1822;986;836;2106.9284823399557;1957.2;150
731320;Instalador-reparador de linhas e aparelhos de telecomunicações;Redes;1786;1024;762;1888.857933930571;1778.0;262
732105;Eletricista de manutenção de linhas elétricas, telefônicas e de comunicação de dados;Redes;1503;747;756;2501.8415276851238;2185.69;-9
142520;Gerente de projetos de tecnologia da informação;Gestao de Tecnologia;1074;449;625;14328.636638655462;12634.73;-176
731110;Montador de equipamentos eletrônicos (computadores e equipamentos auxiliares);Infraestrutura;931;410;521;2394.9573361976372;2585.48;-111
372205;Operador de rede de teleprocessamento;Redes;877;447;430;1676.6975456621005;1740.2;17
731325;Instalador-reparador de redes e cabos telefônicos;Redes;830;446;384;1848.6597694174757;1737.4;62
212320;Administrador em segurança da informação;Seguranca da Informacao;666;320;346;8691.080737951808;7068.55;-26
212430;Analista de testes de tecnologia da informação;Desenvolvimento de Software;639;291;348;6244.654842767295;6000.0;-57
212415;Analista de sistemas de automação;Desenvolvimento de Software;522;270;252;6401.671442307692;5360.075000000001;18
212215;Engenheiros de sistemas operacionais em computação;Infraestrutura;513;248;265;13927.53212890625;11500.0;-17
212205;Engenheiro de aplicativos em computação;Desenvolvimento de Software;472;234;238;14208.07220806794;12000.0;-4
142510;Gerente de desenvolvimento de sistemas;Gestao de Tecnologia;470;165;305;19599.655021276594;18704.84;-140
212305;Administrador de banco de dados;Dados e Banco de Dados;450;209;241;8323.862828507796;7116.67;-32
313305;Técnico de comunicação de dados;Redes;426;207;219;2086.2867294117646;1976.0;-12
212315;Administrador de sistemas operacionais;Infraestrutura;347;144;203;7314.67774566474;5071.5;-59
142530;Gerente de suporte técnico de tecnologia da informação;Gestao de Tecnologia;315;122;193;9084.416655948553;6500.0;-71
142505;Gerente de infraestrutura de tecnologia da informação;Gestao de Tecnologia;244;97;147;13872.443941908714;11000.0;-50
212425;Arquiteto de soluções de tecnologia da informação;Cloud e DevOps;241;100;141;14779.592116182574;13219.31;-41
212310;Administrador de redes;Redes;235;103;132;6045.396367521367;3850.0;-29
142515;Gerente de operação de tecnologia da informação;Gestao de Tecnologia;219;80;139;15834.903242009133;15000.0;-59
142535;Tecnólogo em gestão da tecnologia da informação;Gestao de Tecnologia;173;83;90;7539.193705882352;5048.389999999999;-7
211220;Cientista de dados;Dados e Banco de Dados;170;102;68;9668.047100591715;8536.0;34
234120;Professor de computação (no ensino superior);Outras ocupacoes de Tecnologia;162;131;31;3562.6895394736844;2245.025;100
203105;Pesquisador em ciências da computação e informática;Outras ocupacoes de Tecnologia;116;66;50;11064.274568965518;10745.77;16
123605;Diretor de tecnologia da informação;Gestao de Tecnologia;91;34;57;40477.04296703297;40000.0;-23
142525;Gerente de segurança da informação;Seguranca da Informacao;85;33;52;19109.810352941175;18704.18;-19
731330;Reparador de aparelhos de telecomunicações em laboratório;Redes;70;36;34;2078.282285714286;1865.6399999999999;2
212210;Engenheiro de equipamentos em computação;Infraestrutura;36;14;22;12684.14638888889;11015.125;-8
142135;Oficial de proteção de dados pessoais (dpo);Seguranca da Informacao;16;12;4;12176.7675;8110.0;8
214350;Engenheiro de redes de comunicação;Redes;11;9;2;22095.345999999998;17318.5;7
