categoria_tech;registros;admissoes;desligamentos;ocupacoes;remuneracao_media;remuneracao_mediana;saldo_empregos
Redes;15446;6057;9389;11;2545.628460538291;1917.88;-3332
Desenvolvimento de Software;14661;6952;7709;5;7534.6245688123545;6500.0;-757
Suporte Tecnico;11345;5515;5830;3;2944.9243784737537;2352.09;-315
Infraestrutura;2693;1120;1573;5;4667.017950148809;2342.64;-453
Gestao de Tecnologia;2191;893;1298;7;14727.01131110096;12322.2;-405
Seguranca da Informacao;629;327;302;3;9250.85597133758;7340.08;25
Dados e Banco de Dados;585;296;289;2;9122.941278065631;8500.0;7
Outras ocupacoes de Tecnologia;242;64;178;2;10392.177268907562;7979.005;-114
Cloud e DevOps;235;117;118;1;14944.505574468085;14688.84;-1
