categoria_tech;registros;admissoes;desligamentos;ocupacoes;remuneracao_media;remuneracao_mediana;saldo_empregos
Desenvolvimento de Software;17059;9362;7697;5;7717.06255426493;6629.005;1665
Redes;13843;7369;6474;11;2630.454480806908;1874.21;895
Suporte Tecnico;12948;7007;5941;3;3013.694473887516;2387.64;1066
Infraestrutura;3069;1580;1489;5;5018.574646234105;2368.3;91
Gestao de Tecnologia;2522;1207;1315;7;14694.239297619048;12697.585;-108
Seguranca da Informacao;771;426;345;3;9561.957935064935;7703.305;81
Dados e Banco de Dados;693;388;305;2;9099.753492753624;8500.0;83
Cloud e DevOps;277;155;122;1;14283.671227436824;13000.0;33
Outras ocupacoes de Tecnologia;142;70;72;2;10179.10592857143;8668.965;-2
