grau_instrucao;registros;admissoes;desligamentos;saldo_empregos
1;61;28;33;-5
2;66;35;31;4
3;38;13;25;-12
4;252;131;121;10
5;629;295;334;-39
6;1237;674;563;111
7;22207;11213;10994;219
8;9147;5090;4057;1033
9;19937;10230;9707;523
10;556;307;249;58
11;176;81;95;-14
80;4407;2267;2140;127
