faixa_etaria;registros;admissoes;desligamentos;saldo_empregos
21-25;13822;7770;6052;1718
26-30;13111;6624;6487;137
31-35;9910;4860;5050;-190
36-40;7287;3465;3822;-357
41-50;7836;3667;4169;-502
51+;2499;1012;1487;-475
Ate 20;5188;3452;1736;1716
