categoria_tech;registros;admissoes;desligamentos;ocupacoes;remuneracao_media;remuneracao_mediana;saldo_empregos
Desenvolvimento de Software;18837;9793;9044;5;7576.428706855162;6436.1;749
Redes;14783;7658;7125;11;2565.1357883931014;1884.81;533
Suporte Tecnico;13514;7161;6353;3;2985.1362383612664;2352.09;808
Infraestrutura;3435;1769;1666;5;5513.828364963503;2368.3;103
Gestao de Tecnologia;2889;1255;1634;7;14759.269616591147;12500.0;-379
Seguranca da Informacao;802;434;368;3;9478.303559748429;7516.0;66
Dados e Banco de Dados;712;361;351;2;9111.531172316385;8019.51;10
Cloud e DevOps;324;151;173;1;15284.525758513933;14200.0;-22
Outras ocupacoes de Tecnologia;200;110;90;2;9243.177512953367;8000.0;20
